sales_outlet_id,transaction_date,product_id,start_of_day,quantity_sold,waste,% waste,product,current_wholesale_price,current_retail_price,wastage_cost
3,4/8/2019,70,18,11,7,39%,Cranberry Scone,2.11,3.25,14.77
3,4/8/2019,71,18,14,4,22%,Chocolate Croissant,2.44,3.75,9.76
3,4/8/2019,72,48,8,40,90%,Ginger Scone,2.11,3.25,84.4
3,4/8/2019,73,18,6,12,67%,Almond Croissant,2.44,3.75,29.28
3,4/9/2019,69,18,4,14,78%,Hazelnut Biscotti,2.28,3.5,31.92
3,4/9/2019,70,18,7,11,61%,Cranberry Scone,2.11,3.25,23.21
3,4/9/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
3,4/9/2019,72,48,6,42,88%,Ginger Scone,2.11,3.25,88.62
3,4/10/2019,69,18,5,13,72%,Hazelnut Biscotti,2.28,3.5,29.64
3,4/10/2019,70,18,7,11,61%,Cranberry Scone,2.11,3.25,23.21
3,4/10/2019,71,18,10,8,44%,Chocolate Croissant,2.44,3.75,19.52
3,4/10/2019,72,48,7,41,90%,Ginger Scone,2.11,3.25,86.51
3,4/10/2019,73,18,6,12,67%,Almond Croissant,2.44,3.75,29.28
3,4/11/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
3,4/11/2019,70,18,4,14,78%,Cranberry Scone,2.11,3.25,29.54
3,4/11/2019,71,18,12,6,33%,Chocolate Croissant,2.44,3.75,14.64
3,4/11/2019,72,48,8,40,94%,Ginger Scone,2.11,3.25,84.4
3,4/11/2019,73,18,3,15,83%,Almond Croissant,2.44,3.75,36.6
3,4/12/2019,69,18,11,7,39%,Hazelnut Biscotti,2.28,3.5,15.96
3,4/12/2019,70,18,6,12,67%,Cranberry Scone,2.11,3.25,25.32
3,4/12/2019,71,18,5,13,72%,Chocolate Croissant,2.44,3.75,31.72
3,4/12/2019,72,48,9,39,90%,Ginger Scone,2.11,3.25,82.29
3,4/12/2019,73,18,6,12,67%,Almond Croissant,2.44,3.75,29.28
3,4/13/2019,69,18,9,9,50%,Hazelnut Biscotti,2.28,3.5,20.52
3,4/13/2019,70,18,3,15,83%,Cranberry Scone,2.11,3.25,31.65
3,4/13/2019,71,18,9,9,50%,Chocolate Croissant,2.44,3.75,21.96
3,4/13/2019,72,48,8,40,92%,Ginger Scone,2.11,3.25,84.4
3,4/13/2019,73,18,11,7,39%,Almond Croissant,2.44,3.75,17.08
3,4/14/2019,69,18,8,10,56%,Hazelnut Biscotti,2.28,3.5,22.8
3,4/14/2019,70,18,12,6,33%,Cranberry Scone,2.11,3.25,12.66
3,4/14/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
3,4/14/2019,72,48,8,44,92%,Ginger Scone,2.11,3.25,92.84
3,4/14/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
3,4/15/2019,69,18,7,11,61%,Hazelnut Biscotti,2.28,3.5,25.08
3,4/15/2019,70,18,10,8,44%,Cranberry Scone,2.11,3.25,16.88
3,4/15/2019,71,18,10,8,44%,Chocolate Croissant,2.44,3.75,19.52
3,4/15/2019,72,48,10,38,79%,Ginger Scone,2.11,3.25,80.18
3,4/15/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
3,4/16/2019,69,18,8,10,56%,Hazelnut Biscotti,2.28,3.5,22.8
3,4/16/2019,70,18,5,13,72%,Cranberry Scone,2.11,3.25,27.43
3,4/16/2019,71,18,4,14,78%,Chocolate Croissant,2.44,3.75,34.16
3,4/16/2019,72,48,9,39,81%,Ginger Scone,2.11,3.25,82.29
3,4/16/2019,73,18,15,3,17%,Almond Croissant,2.44,3.75,7.32
3,4/17/2019,69,18,10,8,44%,Hazelnut Biscotti,2.28,3.5,18.24
3,4/17/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
3,4/17/2019,71,18,10,8,44%,Chocolate Croissant,2.44,3.75,19.52
3,4/17/2019,72,48,10,38,79%,Ginger Scone,2.11,3.25,80.18
3,4/17/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
3,4/18/2019,69,18,0,0,0,Hazelnut Biscotti,2.28,3.5,0
3,4/18/2019,72,48,23,25,52%,Ginger Scone,2.11,3.25,52.75
3,4/19/2019,69,18,14,4,22%,Hazelnut Biscotti,2.28,3.5,9.12
3,4/19/2019,70,18,11,7,39%,Cranberry Scone,2.11,3.25,14.77
3,4/19/2019,71,18,13,5,28%,Chocolate Croissant,2.44,3.75,12.2
3,4/19/2019,72,48,23,25,52%,Ginger Scone,2.11,3.25,52.75
3,4/19/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
3,4/20/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
3,4/20/2019,70,18,3,15,83%,Cranberry Scone,2.11,3.25,31.65
3,4/20/2019,71,18,3,15,83%,Chocolate Croissant,2.44,3.75,36.6
3,4/20/2019,72,48,24,24,77%,Ginger Scone,2.11,3.25,50.64
3,4/20/2019,73,18,3,15,83%,Almond Croissant,2.44,3.75,36.6
3,4/21/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
3,4/21/2019,70,18,3,15,83%,Cranberry Scone,2.11,3.25,31.65
3,4/21/2019,71,18,3,15,83%,Chocolate Croissant,2.44,3.75,36.6
3,4/21/2019,72,48,22,26,77%,Ginger Scone,2.11,3.25,54.86
3,4/21/2019,73,18,3,15,83%,Almond Croissant,2.44,3.75,36.6
5,4/7/2019,69,18,4,14,78%,Hazelnut Biscotti,2.28,3.5,31.92
5,4/7/2019,70,18,7,11,61%,Cranberry Scone,2.11,3.25,23.21
5,4/7/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
5,4/7/2019,72,48,10,38,83%,Ginger Scone,2.11,3.25,80.18
5,4/7/2019,73,18,5,13,72%,Almond Croissant,2.44,3.75,31.72
5,4/8/2019,69,18,7,11,61%,Hazelnut Biscotti,2.28,3.5,25.08
5,4/8/2019,70,18,5,13,72%,Cranberry Scone,2.11,3.25,27.43
5,4/8/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
5,4/8/2019,72,48,9,39,81%,Ginger Scone,2.11,3.25,82.29
5,4/8/2019,73,18,3,15,83%,Almond Croissant,2.44,3.75,36.6
5,4/9/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
5,4/9/2019,70,18,7,11,61%,Cranberry Scone,2.11,3.25,23.21
5,4/9/2019,71,18,7,11,61%,Chocolate Croissant,2.44,3.75,26.84
5,4/9/2019,72,48,10,38,79%,Ginger Scone,2.11,3.25,80.18
5,4/9/2019,73,18,1,17,94%,Almond Croissant,2.44,3.75,41.48
5,4/10/2019,69,18,4,14,78%,Hazelnut Biscotti,2.28,3.5,31.92
5,4/10/2019,70,18,4,14,78%,Cranberry Scone,2.11,3.25,29.54
5,4/10/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
5,4/10/2019,72,48,8,40,83%,Ginger Scone,2.11,3.25,84.4
5,4/10/2019,73,18,8,10,56%,Almond Croissant,2.44,3.75,24.4
5,4/11/2019,69,18,11,7,39%,Hazelnut Biscotti,2.28,3.5,15.96
5,4/11/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
5,4/11/2019,71,18,6,12,67%,Chocolate Croissant,2.44,3.75,29.28
5,4/11/2019,72,48,9,39,81%,Ginger Scone,2.11,3.25,82.29
5,4/11/2019,73,18,7,11,61%,Almond Croissant,2.44,3.75,26.84
5,4/12/2019,69,18,8,10,56%,Hazelnut Biscotti,2.28,3.5,22.8
5,4/12/2019,70,18,7,11,61%,Cranberry Scone,2.11,3.25,23.21
5,4/12/2019,71,18,13,5,28%,Chocolate Croissant,2.44,3.75,12.2
5,4/12/2019,72,48,14,34,71%,Ginger Scone,2.11,3.25,71.74
5,4/12/2019,73,18,18,0,0%,Almond Croissant,2.44,3.75,0
5,4/13/2019,69,18,11,7,39%,Hazelnut Biscotti,2.28,3.5,15.96
5,4/13/2019,70,18,8,10,56%,Cranberry Scone,2.11,3.25,21.1
5,4/13/2019,71,18,11,7,39%,Chocolate Croissant,2.44,3.75,17.08
5,4/13/2019,72,48,8,40,83%,Ginger Scone,2.11,3.25,84.4
5,4/13/2019,73,18,12,6,33%,Almond Croissant,2.44,3.75,14.64
5,4/14/2019,69,18,14,4,22%,Hazelnut Biscotti,2.28,3.5,9.12
5,4/14/2019,70,18,10,8,44%,Cranberry Scone,2.11,3.25,16.88
5,4/14/2019,71,18,10,8,44%,Chocolate Croissant,2.44,3.75,19.52
5,4/14/2019,72,48,5,43,90%,Ginger Scone,2.11,3.25,90.73
5,4/14/2019,73,18,15,3,17%,Almond Croissant,2.44,3.75,7.32
5,4/15/2019,69,18,7,11,61%,Hazelnut Biscotti,2.28,3.5,25.08
5,4/15/2019,70,18,6,12,67%,Cranberry Scone,2.11,3.25,25.32
5,4/15/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
5,4/15/2019,72,48,8,40,83%,Ginger Scone,2.11,3.25,84.4
5,4/15/2019,73,18,11,7,39%,Almond Croissant,2.44,3.75,17.08
5,4/16/2019,69,18,11,7,39%,Hazelnut Biscotti,2.28,3.5,15.96
5,4/16/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
5,4/16/2019,71,18,15,3,17%,Chocolate Croissant,2.44,3.75,7.32
5,4/16/2019,72,48,4,44,92%,Ginger Scone,2.11,3.25,92.84
5,4/16/2019,73,18,3,15,83%,Almond Croissant,2.44,3.75,36.6
5,4/17/2019,69,18,12,6,33%,Hazelnut Biscotti,2.28,3.5,13.68
5,4/17/2019,70,18,6,12,67%,Cranberry Scone,2.11,3.25,25.32
5,4/17/2019,71,18,13,5,28%,Chocolate Croissant,2.44,3.75,12.2
5,4/17/2019,72,48,3,45,94%,Ginger Scone,2.11,3.25,94.95
5,4/17/2019,73,18,8,10,56%,Almond Croissant,2.44,3.75,24.4
5,4/18/2019,69,18,10,8,44%,Hazelnut Biscotti,2.28,3.5,18.24
5,4/18/2019,70,18,8,10,56%,Cranberry Scone,2.11,3.25,21.1
5,4/18/2019,71,18,3,15,83%,Chocolate Croissant,2.44,3.75,36.6
5,4/18/2019,72,48,4,44,92%,Ginger Scone,2.11,3.25,92.84
5,4/18/2019,73,18,6,12,67%,Almond Croissant,2.44,3.75,29.28
5,4/19/2019,69,18,4,14,78%,Hazelnut Biscotti,2.28,3.5,31.92
5,4/19/2019,70,18,6,12,67%,Cranberry Scone,2.11,3.25,25.32
5,4/19/2019,71,18,3,15,83%,Chocolate Croissant,2.44,3.75,36.6
5,4/19/2019,72,48,4,44,92%,Ginger Scone,2.11,3.25,92.84
5,4/19/2019,73,18,5,13,72%,Almond Croissant,2.44,3.75,31.72
5,4/20/2019,69,18,11,7,39%,Hazelnut Biscotti,2.28,3.5,15.96
5,4/20/2019,70,18,17,1,6%,Cranberry Scone,2.11,3.25,2.11
5,4/20/2019,71,18,6,12,67%,Chocolate Croissant,2.44,3.75,29.28
5,4/20/2019,72,48,24,24,50%,Ginger Scone,2.11,3.25,50.64
5,4/20/2019,73,18,10,8,44%,Almond Croissant,2.44,3.75,19.52
5,4/21/2019,69,18,10,8,44%,Hazelnut Biscotti,2.28,3.5,18.24
5,4/21/2019,70,18,7,11,61%,Cranberry Scone,2.11,3.25,23.21
5,4/21/2019,71,18,12,6,33%,Chocolate Croissant,2.44,3.75,14.64
5,4/21/2019,72,48,20,28,58%,Ginger Scone,2.11,3.25,59.08
5,4/21/2019,73,18,8,10,56%,Almond Croissant,2.44,3.75,24.4
5,4/22/2019,69,18,5,13,72%,Hazelnut Biscotti,2.28,3.5,29.64
5,4/22/2019,70,18,8,10,56%,Cranberry Scone,2.11,3.25,21.1
5,4/22/2019,71,18,4,14,78%,Chocolate Croissant,2.44,3.75,34.16
5,4/22/2019,72,48,23,25,52%,Ginger Scone,2.11,3.25,52.75
5,4/22/2019,73,18,14,4,22%,Almond Croissant,2.44,3.75,9.76
5,4/23/2019,69,18,7,11,61%,Hazelnut Biscotti,2.28,3.5,25.08
5,4/23/2019,70,18,4,14,78%,Cranberry Scone,2.11,3.25,29.54
5,4/23/2019,71,18,7,11,61%,Chocolate Croissant,2.44,3.75,26.84
5,4/23/2019,72,48,16,32,67%,Ginger Scone,2.11,3.25,67.52
5,4/23/2019,73,18,6,12,67%,Almond Croissant,2.44,3.75,29.28
5,4/24/2019,69,18,8,10,56%,Hazelnut Biscotti,2.28,3.5,22.8
5,4/24/2019,70,18,13,5,28%,Cranberry Scone,2.11,3.25,10.55
5,4/24/2019,71,18,5,13,72%,Chocolate Croissant,2.44,3.75,31.72
5,4/24/2019,72,48,21,27,56%,Ginger Scone,2.11,3.25,56.97
5,4/24/2019,73,18,7,11,61%,Almond Croissant,2.44,3.75,26.84
5,4/25/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
5,4/25/2019,70,18,5,13,72%,Cranberry Scone,2.11,3.25,27.43
5,4/25/2019,71,18,9,9,50%,Chocolate Croissant,2.44,3.75,21.96
5,4/25/2019,72,48,22,26,54%,Ginger Scone,2.11,3.25,54.86
5,4/25/2019,73,18,8,10,56%,Almond Croissant,2.44,3.75,24.4
5,4/26/2019,69,18,7,11,61%,Hazelnut Biscotti,2.28,3.5,25.08
5,4/26/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
5,4/26/2019,71,18,7,11,61%,Chocolate Croissant,2.44,3.75,26.84
5,4/26/2019,72,48,21,27,56%,Ginger Scone,2.11,3.25,56.97
5,4/26/2019,73,18,4,14,78%,Almond Croissant,2.44,3.75,34.16
5,4/27/2019,69,18,5,13,72%,Hazelnut Biscotti,2.28,3.5,29.64
5,4/27/2019,70,18,8,10,56%,Cranberry Scone,2.11,3.25,21.1
5,4/27/2019,71,18,6,12,67%,Chocolate Croissant,2.44,3.75,29.28
5,4/27/2019,72,48,18,30,63%,Ginger Scone,2.11,3.25,63.3
5,4/27/2019,73,18,10,8,44%,Almond Croissant,2.44,3.75,19.52
8,4/7/2019,69,18,10,8,44%,Hazelnut Biscotti,2.28,3.5,18.24
8,4/7/2019,70,18,15,3,17%,Cranberry Scone,2.11,3.25,6.33
8,4/7/2019,71,18,9,9,50%,Chocolate Croissant,2.44,3.75,21.96
8,4/7/2019,72,48,1,47,92%,Ginger Scone,2.11,3.25,99.17
8,4/7/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
8,4/8/2019,69,18,5,13,72%,Hazelnut Biscotti,2.28,3.5,29.64
8,4/8/2019,70,18,8,10,56%,Cranberry Scone,2.11,3.25,21.1
8,4/8/2019,71,18,11,7,39%,Chocolate Croissant,2.44,3.75,17.08
8,4/8/2019,72,48,3,45,94%,Ginger Scone,2.11,3.25,94.95
8,4/8/2019,73,18,8,10,56%,Almond Croissant,2.44,3.75,24.4
8,4/9/2019,69,18,8,10,56%,Hazelnut Biscotti,2.28,3.5,22.8
8,4/9/2019,70,18,7,11,61%,Cranberry Scone,2.11,3.25,23.21
8,4/9/2019,71,18,11,7,39%,Chocolate Croissant,2.44,3.75,17.08
8,4/9/2019,72,48,4,44,92%,Ginger Scone,2.11,3.25,92.84
8,4/9/2019,73,18,5,13,72%,Almond Croissant,2.44,3.75,31.72
8,4/10/2019,69,18,12,6,33%,Hazelnut Biscotti,2.28,3.5,13.68
8,4/10/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
8,4/10/2019,71,18,6,12,67%,Chocolate Croissant,2.44,3.75,29.28
8,4/10/2019,72,48,3,45,88%,Ginger Scone,2.11,3.25,94.95
8,4/10/2019,73,18,13,5,28%,Almond Croissant,2.44,3.75,12.2
8,4/11/2019,69,18,15,3,17%,Hazelnut Biscotti,2.28,3.5,6.84
8,4/11/2019,70,18,14,4,22%,Cranberry Scone,2.11,3.25,8.44
8,4/11/2019,71,18,15,3,17%,Chocolate Croissant,2.44,3.75,7.32
8,4/11/2019,72,48,2,46,88%,Ginger Scone,2.11,3.25,97.06
8,4/11/2019,73,18,6,12,67%,Almond Croissant,2.44,3.75,29.28
8,4/12/2019,69,18,11,7,39%,Hazelnut Biscotti,2.28,3.5,15.96
8,4/12/2019,70,18,8,10,56%,Cranberry Scone,2.11,3.25,21.1
8,4/12/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
8,4/12/2019,72,48,4,44,92%,Ginger Scone,2.11,3.25,92.84
8,4/12/2019,73,18,5,13,72%,Almond Croissant,2.44,3.75,31.72
8,4/13/2019,69,18,4,14,78%,Hazelnut Biscotti,2.28,3.5,31.92
8,4/13/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
8,4/13/2019,71,18,9,9,50%,Chocolate Croissant,2.44,3.75,21.96
8,4/13/2019,72,48,2,46,96%,Ginger Scone,2.11,3.25,97.06
8,4/13/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
8,4/14/2019,69,18,18,0,0%,Hazelnut Biscotti,2.28,3.5,0
8,4/14/2019,70,18,16,2,11%,Cranberry Scone,2.11,3.25,4.22
8,4/14/2019,71,18,17,1,6%,Chocolate Croissant,2.44,3.75,2.44
8,4/14/2019,72,48,5,43,90%,Ginger Scone,2.11,3.25,90.73
8,4/14/2019,73,18,12,6,33%,Almond Croissant,2.44,3.75,14.64
8,4/15/2019,69,18,5,13,72%,Hazelnut Biscotti,2.28,3.5,29.64
8,4/15/2019,70,18,15,3,17%,Cranberry Scone,2.11,3.25,6.33
8,4/15/2019,71,18,10,8,44%,Chocolate Croissant,2.44,3.75,19.52
8,4/15/2019,72,48,23,25,67%,Ginger Scone,2.11,3.25,52.75
8,4/15/2019,73,18,10,8,44%,Almond Croissant,2.44,3.75,19.52
8,4/16/2019,69,18,9,9,50%,Hazelnut Biscotti,2.28,3.5,20.52
8,4/16/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
8,4/16/2019,71,18,5,13,72%,Chocolate Croissant,2.44,3.75,31.72
8,4/16/2019,72,48,29,19,71%,Ginger Scone,2.11,3.25,40.09
8,4/16/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
8,4/17/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
8,4/17/2019,70,18,5,13,72%,Cranberry Scone,2.11,3.25,27.43
8,4/17/2019,71,18,12,6,33%,Chocolate Croissant,2.44,3.75,14.64
8,4/17/2019,72,48,27,21,73%,Ginger Scone,2.11,3.25,44.31
8,4/17/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
8,4/18/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
8,4/18/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
8,4/18/2019,71,18,9,9,50%,Chocolate Croissant,2.44,3.75,21.96
8,4/18/2019,72,48,30,18,69%,Ginger Scone,2.11,3.25,37.98
8,4/18/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
8,4/19/2019,69,18,10,8,44%,Hazelnut Biscotti,2.28,3.5,18.24
8,4/19/2019,70,18,11,7,39%,Cranberry Scone,2.11,3.25,14.77
8,4/19/2019,71,18,9,9,50%,Chocolate Croissant,2.44,3.75,21.96
8,4/19/2019,72,48,28,20,54%,Ginger Scone,2.11,3.25,42.2
8,4/19/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
8,4/20/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
8,4/20/2019,70,18,4,14,78%,Cranberry Scone,2.11,3.25,29.54
8,4/20/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
8,4/20/2019,72,48,32,16,85%,Ginger Scone,2.11,3.25,33.76
8,4/20/2019,73,18,6,12,67%,Almond Croissant,2.44,3.75,29.28
8,4/21/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
8,4/21/2019,70,18,5,13,72%,Cranberry Scone,2.11,3.25,27.43
8,4/21/2019,71,18,16,2,11%,Chocolate Croissant,2.44,3.75,4.88
8,4/21/2019,72,48,31,17,58%,Ginger Scone,2.11,3.25,35.87
8,4/21/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
8,4/22/2019,69,18,16,2,11%,Hazelnut Biscotti,2.28,3.5,4.56
8,4/22/2019,70,18,12,6,33%,Cranberry Scone,2.11,3.25,12.66
8,4/22/2019,71,18,3,15,83%,Chocolate Croissant,2.44,3.75,36.6
8,4/22/2019,72,48,10,38,79%,Ginger Scone,2.11,3.25,80.18
8,4/22/2019,73,18,7,11,61%,Almond Croissant,2.44,3.75,26.84
8,4/23/2019,69,18,11,7,39%,Hazelnut Biscotti,2.28,3.5,15.96
8,4/23/2019,70,18,10,8,44%,Cranberry Scone,2.11,3.25,16.88
8,4/23/2019,71,18,4,14,78%,Chocolate Croissant,2.44,3.75,34.16
8,4/23/2019,72,48,21,27,56%,Ginger Scone,2.11,3.25,56.97
8,4/23/2019,73,18,7,11,61%,Almond Croissant,2.44,3.75,26.84
8,4/24/2019,69,18,7,11,61%,Hazelnut Biscotti,2.28,3.5,25.08
8,4/24/2019,70,18,12,6,33%,Cranberry Scone,2.11,3.25,12.66
8,4/24/2019,71,18,9,9,50%,Chocolate Croissant,2.44,3.75,21.96
8,4/24/2019,72,48,18,30,63%,Ginger Scone,2.11,3.25,63.3
8,4/24/2019,73,18,5,13,72%,Almond Croissant,2.44,3.75,31.72
8,4/25/2019,69,18,10,8,44%,Hazelnut Biscotti,2.28,3.5,18.24
8,4/25/2019,70,18,4,14,78%,Cranberry Scone,2.11,3.25,29.54
8,4/25/2019,71,18,13,5,28%,Chocolate Croissant,2.44,3.75,12.2
8,4/25/2019,72,48,22,26,54%,Ginger Scone,2.11,3.25,54.86
8,4/25/2019,73,18,10,8,44%,Almond Croissant,2.44,3.75,19.52
8,4/26/2019,69,18,10,8,44%,Hazelnut Biscotti,2.28,3.5,18.24
8,4/26/2019,70,18,12,6,33%,Cranberry Scone,2.11,3.25,12.66
8,4/26/2019,71,18,7,11,61%,Chocolate Croissant,2.44,3.75,26.84
8,4/26/2019,72,48,18,30,63%,Ginger Scone,2.11,3.25,63.3
8,4/26/2019,73,18,7,11,61%,Almond Croissant,2.44,3.75,26.84
8,4/27/2019,69,18,1,17,94%,Hazelnut Biscotti,2.28,3.5,38.76
8,4/27/2019,70,18,4,14,78%,Cranberry Scone,2.11,3.25,29.54
8,4/27/2019,71,18,2,16,89%,Chocolate Croissant,2.44,3.75,39.04
8,4/27/2019,72,48,19,29,60%,Ginger Scone,2.11,3.25,61.19
8,4/27/2019,73,18,4,14,78%,Almond Croissant,2.44,3.75,34.16
