sales_outlet_id,transaction_date,product_id,start_of_day,quantity_sold,waste,% waste
5,2019-04-26,71,18,7,11,61%
5,2019-04-26,72,48,21,27,56%
5,2019-04-26,73,18,4,14,78%
5,2019-04-27,69,18,5,13,72%
5,2019-04-27,70,18,8,10,56%
5,2019-04-27,71,18,6,12,67%
5,2019-04-27,72,48,18,30,63%
5,2019-04-27,73,18,10,8,44%
8,2019-04-07,69,18,10,8,44%
8,2019-04-07,70,18,15,3,17%
8,2019-04-07,71,18,9,9,50%
8,2019-04-07,72,48,1,47,92%
8,2019-04-07,73,18,9,9,50%
8,2019-04-08,69,18,5,13,72%
8,2019-04-08,70,18,8,10,56%
8,2019-04-08,71,18,11,7,39%
8,2019-04-08,72,48,3,45,94%
8,2019-04-08,73,18,8,10,56%
8,2019-04-09,69,18,8,10,56%
8,2019-04-09,70,18,7,11,61%
8,2019-04-09,71,18,11,7,39%
8,2019-04-09,72,48,4,44,92%
8,2019-04-09,73,18,5,13,72%
8,2019-04-10,69,18,12,6,33%
8,2019-04-10,70,18,9,9,50%
8,2019-04-10,71,18,6,12,67%
8,2019-04-10,72,48,3,45,88%
8,2019-04-10,73,18,13,5,28%
8,2019-04-11,69,18,15,3,17%
8,2019-04-11,70,18,14,4,22%
8,2019-04-11,71,18,15,3,17%
8,2019-04-11,72,48,2,46,88%
8,2019-04-11,73,18,6,12,67%
8,2019-04-12,69,18,11,7,39%
8,2019-04-12,70,18,8,10,56%
8,2019-04-12,71,18,8,10,56%
8,2019-04-12,72,48,4,44,92%
8,2019-04-12,73,18,5,13,72%
8,2019-04-13,69,18,4,14,78%
8,2019-04-13,70,18,9,9,50%
8,2019-04-13,71,18,9,9,50%
8,2019-04-13,72,48,2,46,96%
8,2019-04-13,73,18,9,9,50%
8,2019-04-14,69,18,18,0,0%
8,2019-04-14,70,18,16,2,11%
8,2019-04-14,71,18,17,1,6%
8,2019-04-14,72,48,5,43,90%
8,2019-04-14,73,18,12,6,33%
8,2019-04-15,69,18,5,13,72%
8,2019-04-15,70,18,15,3,17%
8,2019-04-15,71,18,10,8,44%
8,2019-04-15,72,48,23,25,67%
8,2019-04-15,73,18,10,8,44%
8,2019-04-16,69,18,9,9,50%
8,2019-04-16,70,18,9,9,50%
8,2019-04-16,71,18,5,13,72%
8,2019-04-16,72,48,29,19,71%
8,2019-04-16,73,18,9,9,50%
8,2019-04-17,69,18,6,12,67%
8,2019-04-17,70,18,5,13,72%
8,2019-04-17,71,18,12,6,33%
8,2019-04-17,72,48,27,21,73%
8,2019-04-17,73,18,9,9,50%
8,2019-04-18,69,18,6,12,67%
8,2019-04-18,70,18,9,9,50%
8,2019-04-18,71,18,9,9,50%
8,2019-04-18,72,48,30,18,69%
8,2019-04-18,73,18,9,9,50%
8,2019-04-19,69,18,10,8,44%
8,2019-04-19,70,18,11,7,39%
8,2019-04-19,71,18,9,9,50%
8,2019-04-19,72,48,28,20,54%
8,2019-04-19,73,18,9,9,50%
8,2019-04-20,69,18,6,12,67%
8,2019-04-20,70,18,4,14,78%
8,2019-04-20,71,18,8,10,56%
8,2019-04-20,72,48,32,16,85%
8,2019-04-20,73,18,6,12,67%
8,2019-04-21,69,18,6,12,67%
8,2019-04-21,70,18,5,13,72%
8,2019-04-21,71,18,16,2,11%
8,2019-04-21,72,48,31,17,58%
8,2019-04-21,73,18,9,9,50%
8,2019-04-22,69,18,16,2,11%
8,2019-04-22,70,18,12,6,33%
8,2019-04-22,71,18,3,15,83%
8,2019-04-22,72,48,10,38,79%
8,2019-04-22,73,18,7,11,61%
8,2019-04-23,69,18,11,7,39%
8,2019-04-23,70,18,10,8,44%
8,2019-04-23,71,18,4,14,78%
8,2019-04-23,72,48,21,27,56%
8,2019-04-23,73,18,7,11,61%
8,2019-04-24,69,18,7,11,61%
8,2019-04-24,70,18,12,6,33%
8,2019-04-24,71,18,9,9,50%
8,2019-04-24,72,48,18,30,63%
8,2019-04-24,73,18,5,13,72%
8,2019-04-25,69,18,10,8,44%
8,2019-04-25,70,18,4,14,78%
8,2019-04-25,71,18,13,5,28%
8,2019-04-25,72,48,22,26,54%
8,2019-04-25,73,18,10,8,44%
8,2019-04-26,69,18,10,8,44%
8,2019-04-26,70,18,12,6,33%
8,2019-04-26,71,18,7,11,61%
8,2019-04-26,72,48,18,30,63%
8,2019-04-26,73,18,7,11,61%
8,2019-04-27,69,18,1,17,94%
8,2019-04-27,70,18,4,14,78%
8,2019-04-27,71,18,2,16,89%
8,2019-04-27,72,48,19,29,60%
8,2019-04-27,73,18,4,14,78%
